from_service,to_service,dep_type,subtype,confidence,tier,evidence,sources,topic_or_table,conditional
loadgenerator,frontend,endpoint,http,0.9,confirmed,env FRONTEND_ADDR=frontend:80 | env FRONTEND_ADDR=frontend:80 | env FRONTEND_ADDR=frontend:80,k8s_env,,False
__external__,frontend,endpoint,http,0.9,confirmed,Ingress → frontend | Ingress → frontend,k8s_ingress,,False
frontend,opentelemetry,observability,jaeger,0.9,observability,requirements.txt: opentelemetry-api | requirements.txt: opentelemetry-exporter-gcp-trace | requirements.txt: opentelemetry-instrumentation,"code_sdk,build_file",,False
ui-tests,frontend,endpoint,http,0.88,confirmed,"cy.visit('/login'), cy.visit('/signup'), cy.visit('/home'), cy.visit('/')",llm_analysis,,False
support,frontend,endpoint,http,0.88,confirmed,"cy.visit('login') and cy.visit('/signup') suggest HTTP requests to the frontend service | cy.request({ method: 'POST', url: '/login' }) suggests an HTTP request to the frontend service",llm_analysis,,False
frontend,gcp,external,gcp,0.85,confirmed,requirements.txt: google-cloud-trace,build_file,,False
ledgermonolith,postgres,infrastructure,postgres,0.85,confirmed,pom.xml: postgresql,build_file,,False
frontend,userservice,endpoint,grpc,0.85,confirmed,env var USERSERVICE_API_ADDR in frontend.py | env var USERSERVICE_API_ADDR in frontend.py,code_env_var,,False
frontend,contacts,endpoint,grpc,0.85,confirmed,env var CONTACTS_API_ADDR in frontend.py,code_env_var,,False
ledgermonolith,auth0,external,auth0,0.85,confirmed,SDK import: auth0 in JWTVerifierGenerator.java | SDK import: auth0 in LedgerMonolithController.java,code_sdk,,False
ledgermonolith,zipkin,observability,jaeger,0.85,observability,SDK import: zipkin in LedgerMonolithApplication.java,code_sdk,,False
ledgermonolith,opentelemetry,observability,jaeger,0.85,observability,SDK import: opentelemetry|otel in LedgerReader.java,code_sdk,,False
accounts-db,balancereader,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
accounts-db,contacts,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
accounts-db,ledger-db,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
accounts-db,ledgerwriter,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
accounts-db,transactionhistory,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
accounts-db,userservice,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
balancereader,contacts,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
balancereader,ledger-db,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
balancereader,ledgerwriter,semantic,change_coupling,0.8,implicit,co-changed 5x / ratio=1.00,git_change_coupling,,False
