from_service,to_service,dep_type,subtype,confidence,tier,evidence,sources,topic_or_table,conditional
teastore-persistence,teastore-registry,endpoint,http,0.9,confirmed,env REGISTRY_HOST=teastore-registry | env REGISTRY_HOST=teastore-registry | env REGISTRY_HOST=teastore-registry,k8s_env,,False
teastore-persistence,teastore-db,endpoint,http,0.9,confirmed,env DB_HOST=teastore-db | env DB_HOST=teastore-db | env DB_HOST=teastore-db,k8s_env,,False
teastore-auth,teastore-registry,endpoint,http,0.9,confirmed,env REGISTRY_HOST=teastore-registry | env REGISTRY_HOST=teastore-registry | env REGISTRY_HOST=teastore-registry,k8s_env,,False
teastore-image,teastore-registry,endpoint,http,0.9,confirmed,env REGISTRY_HOST=teastore-registry | env REGISTRY_HOST=teastore-registry | env REGISTRY_HOST=teastore-registry,k8s_env,,False
teastore-recommender,teastore-registry,endpoint,http,0.9,confirmed,env REGISTRY_HOST=teastore-registry | env REGISTRY_HOST=teastore-registry | env REGISTRY_HOST=teastore-registry,k8s_env,,False
teastore-webui,teastore-registry,endpoint,http,0.9,confirmed,env REGISTRY_HOST=teastore-registry | env REGISTRY_HOST=teastore-registry | env REGISTRY_HOST=teastore-registry,k8s_env,,False
teastore-persistence,teastore-kieker-rabbitmq,endpoint,http,0.9,confirmed,env RABBITMQ_HOST=teastore-kieker-rabbitmq | env RABBITMQ_HOST=teastore-kieker-rabbitmq,k8s_env,,False
teastore-auth,teastore-kieker-rabbitmq,endpoint,http,0.9,confirmed,env RABBITMQ_HOST=teastore-kieker-rabbitmq | env RABBITMQ_HOST=teastore-kieker-rabbitmq,k8s_env,,False
teastore-image,teastore-kieker-rabbitmq,endpoint,http,0.9,confirmed,env RABBITMQ_HOST=teastore-kieker-rabbitmq | env RABBITMQ_HOST=teastore-kieker-rabbitmq,k8s_env,,False
teastore-recommender,teastore-kieker-rabbitmq,endpoint,http,0.9,confirmed,env RABBITMQ_HOST=teastore-kieker-rabbitmq | env RABBITMQ_HOST=teastore-kieker-rabbitmq,k8s_env,,False
teastore-webui,teastore-kieker-rabbitmq,endpoint,http,0.9,confirmed,env RABBITMQ_HOST=teastore-kieker-rabbitmq | env RABBITMQ_HOST=teastore-kieker-rabbitmq,k8s_env,,False
tools.descartes.teastore.kieker.rabbitmq,rabbitmq,infrastructure,rabbitmq,0.9,confirmed,"pom.xml: kieker.rabbitmq | pom.xml: amqp-client | conn string: amqp(?:s)?://([^/\s""\']+) in LogReaderDaemon.java","code_conn_string,build_file",,False
tools.descartes.teastore.registryclient,jaeger,observability,jaeger,0.9,observability,pom.xml: jaeger-client | SDK import: jaeger in Tracing.java,"code_sdk,build_file",,False
e2e-tests,teastore-webui,endpoint,http,0.88,confirmed,cy.visit('/tools.descartes.teastore.webui/category?category=3&page=1') | cy.visit('/tools.descartes.teastore.webui/login') | cy.visit('/'),llm_analysis,,False
e2e-tests,teastore-auth,endpoint,http,0.88,confirmed,"cy.login() and cy.get('input[name=""username""]').clear().type('user1')",llm_analysis,,False
e2e-tests,teastore-recommender,endpoint,http,0.88,confirmed,cy.contains('Are you interested in?'),llm_analysis,,False
support,teastore-webui,endpoint,http,0.88,confirmed,cy.visit('/tools.descartes.teastore.webui/login') in commands.js,llm_analysis,,False
tools.descartes.teastore.registryclient,zipkin,observability,jaeger,0.85,observability,SDK import: zipkin in Tracing.java,code_sdk,,False
tools.descartes.teastore.auth,tools.descartes.teastore.docker.all,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.dockerbase,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.dockermemoryconfigurator,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.entities,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.image,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.kieker.probes,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.kieker.rabbitmq,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.persistence,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.recommender,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.registry,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.registryclient,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.webui,semantic,change_coupling,0.8,implicit,co-changed 8x / ratio=1.00,git_change_coupling,,False
tools.descartes.teastore.registry,tools.descartes.teastore.registryclient,semantic,change_coupling,0.782,implicit,co-changed 16x / ratio=0.94,git_change_coupling,,False
tools.descartes.teastore.persistence,tools.descartes.teastore.recommender,semantic,change_coupling,0.78,implicit,co-changed 14x / ratio=0.93,git_change_coupling,,False
tools.descartes.teastore.dockerbase,tools.descartes.teastore.dockermemoryconfigurator,semantic,change_coupling,0.773,implicit,co-changed 10x / ratio=0.91,git_change_coupling,,False
tools.descartes.teastore.auth,tools.descartes.teastore.recommender,semantic,change_coupling,0.76,implicit,co-changed 13x / ratio=0.87,git_change_coupling,,False
tools.descartes.teastore.auth,tools.descartes.teastore.webui,semantic,change_coupling,0.76,implicit,co-changed 13x / ratio=0.87,git_change_coupling,,False
tools.descartes.teastore.image,tools.descartes.teastore.recommender,semantic,change_coupling,0.76,implicit,co-changed 13x / ratio=0.87,git_change_coupling,,False
tools.descartes.teastore.recommender,tools.descartes.teastore.webui,semantic,change_coupling,0.76,implicit,co-changed 13x / ratio=0.87,git_change_coupling,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.dockerbase,build,internal_lib,0.75,probable,pom.xml references tools.descartes.teastore.dockerbase,build_pom,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.webui,build,internal_lib,0.75,probable,pom.xml references tools.descartes.teastore.webui,build_pom,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.recommender,build,internal_lib,0.75,probable,pom.xml references tools.descartes.teastore.recommender,build_pom,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.persistence,build,internal_lib,0.75,probable,pom.xml references tools.descartes.teastore.persistence,build_pom,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.registry,build,internal_lib,0.75,probable,pom.xml references tools.descartes.teastore.registry,build_pom,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.image,build,internal_lib,0.75,probable,pom.xml references tools.descartes.teastore.image,build_pom,,False
tools.descartes.teastore.docker.all,tools.descartes.teastore.auth,build,internal_lib,0.75,probable,pom.xml references tools.descartes.teastore.auth,build_pom,,False
tools.descartes.teastore.docker.all,plugins,build,internal_lib,0.75,probable,pom.xml references plugins,build_pom,,False
tools.descartes.teastore.dockerbase,plugins,build,internal_lib,0.75,probable,pom.xml references plugins,build_pom,,False
tools.descartes.teastore.webui,plugins,build,internal_lib,0.75,probable,pom.xml references plugins,build_pom,,False
tools.descartes.teastore.recommender,plugins,build,internal_lib,0.75,probable,pom.xml references plugins,build_pom,,False
tools.descartes.teastore.persistence,plugins,build,internal_lib,0.75,probable,pom.xml references plugins,build_pom,,False
tools.descartes.teastore.registry,plugins,build,internal_lib,0.75,probable,pom.xml references plugins,build_pom,,False
tools.descartes.teastore.auth,plugins,build,internal_lib,0.75,probable,pom.xml references plugins,build_pom,,False
tools.descartes.teastore.dockermemoryconfigurator,plugins,build,internal_lib,0.75,probable,pom.xml references plugins,build_pom,,False
tools.descartes.teastore.registryclient,tools.descartes.teastore.registry,build,internal_lib,0.75,probable,pom.xml references tools.descartes.teastore.registry,build_pom,,False
tools.descartes.teastore.registryclient,plugins,build,internal_lib,0.75,probable,pom.xml references plugins,build_pom,,False
tools.descartes.teastore.kieker.probes,tools.descartes.teastore.registryclient,semantic,change_coupling,0.745,implicit,co-changed 18x / ratio=0.82,git_change_coupling,,False
tools.descartes.teastore.auth,tools.descartes.teastore.image,semantic,change_coupling,0.74,implicit,co-changed 12x / ratio=0.80,git_change_coupling,,False
tools.descartes.teastore.auth,tools.descartes.teastore.persistence,semantic,change_coupling,0.74,implicit,co-changed 12x / ratio=0.80,git_change_coupling,,False
tools.descartes.teastore.recommender,tools.descartes.teastore.registryclient,semantic,change_coupling,0.74,implicit,co-changed 12x / ratio=0.80,git_change_coupling,,False
tools.descartes.teastore.image,tools.descartes.teastore.registry,semantic,change_coupling,0.729,implicit,co-changed 13x / ratio=0.76,git_change_coupling,,False
tools.descartes.teastore.entities,tools.descartes.teastore.kieker.rabbitmq,semantic,change_coupling,0.725,implicit,co-changed 18x / ratio=0.75,git_change_coupling,,False
tools.descartes.teastore.entities,tools.descartes.teastore.registryclient,semantic,change_coupling,0.725,implicit,co-changed 18x / ratio=0.75,git_change_coupling,,False
