service_name,language,has_upstream,has_downstream,is_leaf,is_root,upstream_count,downstream_count,transitive_downstream,transitive_upstream,total_coupling,betweenness_centrality,pagerank,in_degree_centrality,out_degree_centrality,fan_in,fan_out,coupling_ratio,max_path_depth,error_rate,latency_p99_ms,requests_per_day,health_score,complexity_score,project,change_type,change_magnitude,has_tests,deployment_frequency,last_incident_days,label_incident_occurred,label_incident_probability,label_severity_score,label_affected_services,label_recovery_minutes
ledgerwriter,unknown,0,0,1,1,0,0,0,0,0,0.0,0.053688941874244174,0.0,0.0,0,0,0.0,0,0.0031475951301611384,100.0,5584.561500036735,94.56582307187539,0.018524323891214955,bank-of-anthos,config_change,0.14555017899230493,0,11,18,0,0.079,0.4429,0,63
ledgerwriter,unknown,0,0,1,1,0,0,0,0,0,0.0,0.05525805706852399,0.0,0.0,0,0,0.0,0,0.001399107029918923,158.92941152819438,6725.811910697997,100.0,0.015350327095074596,bank-of-anthos,scaling,0.3096471529784605,0,2,11,0,0.1811,0.1424,0,66
ledgerwriter,unknown,0,0,1,1,0,0,0,0,0,0.0,0.06038342583131664,0.0,0.0,0,0,0.0,0,0.0017396522686322878,103.40779502582453,6997.448802907985,100.0,0.011726687627145177,bank-of-anthos,config_change,0.3662042887695774,1,15,22,0,0.1518,0.3061,0,60
ledgerwriter,unknown,0,0,1,1,0,0,0,0,0,0.0,0.04309624240095605,0.0,0.0,0,0,0.0,0,0.0033194465097934316,102.78917940357579,5113.921844285278,100.0,0.01730580116373047,bank-of-anthos,deployment,0.7480285043428314,1,13,7,0,0.2583,0.0773,0,56
ledgerwriter,unknown,0,0,1,1,0,0,0,0,0,0.0,0.042031333212777626,0.0,0.0,0,0,0.0,0,0.002714765977995872,141.0111460567223,5738.559200458382,100.0,0.013065414536336254,bank-of-anthos,config_change,0.19871683717548247,1,6,1,0,0.1731,0.0701,0,60
ledgerwriter,unknown,0,0,1,1,0,0,0,0,0,0.0,0.044508846910805325,0.0,0.0,0,0,0.0,0,0.002609373934637823,104.60080679675605,5693.544325031245,90.34487626171152,0.018003135428724976,bank-of-anthos,code_change,0.5016072504920127,1,18,0,1,0.2157,0.084,0,44
ledgerwriter,unknown,0,0,1,1,0,0,0,0,0,0.0,0.04510550197635971,0.0,0.0,0,0,0.0,0,0.0033085256989782057,129.76890401592416,6245.384254780444,99.33001891877907,0.014198232935000702,bank-of-anthos,config_change,0.6008494297895784,1,6,84,0,0.1691,0.18,0,66
ledgerwriter,unknown,0,0,1,1,0,0,0,0,0,0.0,0.04081200479636003,0.0,0.0,0,0,0.0,0,0.002299490061382089,150.98446387731263,6642.52682198909,100.0,0.012300630114273929,bank-of-anthos,config_change,0.07848994865575547,1,26,73,0,0.1406,0.3422,0,73
ledgerwriter,unknown,0,0,1,1,0,0,0,0,0,0.0,0.051673563911471286,0.0,0.0,0,0,0.0,0,0.0011304381554831735,100.0,6134.991085068563,93.85337258149936,0.0159216785686425,bank-of-anthos,config_change,0.3808825026020326,1,24,9,1,0.1555,0.2075,0,46
ledgerwriter,unknown,0,0,1,1,0,0,0,0,0,0.0,0.04905076380753445,0.0,0.0,0,0,0.0,0,0.001,100.0,5996.407692176042,100.0,0.016933845828482768,bank-of-anthos,deployment,0.8542056403316736,1,18,30,1,0.1558,0.6625,0,87
