service_name,language,upstream_count,downstream_count,transitive_downstream,transitive_upstream,total_coupling,betweenness_centrality,pagerank,in_degree_centrality,out_degree_centrality,fan_in,fan_out,coupling_ratio,max_path_depth,error_rate,latency_p99_ms,requests_per_day,health_score,complexity_score,project
service_0,java,2,2,4,2,4,0.3084048439831741,0.3813189878098385,0.23338144662398996,0.4299702033681603,2,3,0.8463407384332235,4,0.0201619697710888,446.2485667973184,75780.7796214476,71.25779372456223,0.48423947402229833,synthetic
service_1,javascript,4,1,5,3,5,0.2699895306102378,0.29088624611658015,0.31164906341377896,0.1654490124263246,0,1,1.5944092675070962,3,0.03594899457392676,1545.491592372105,56566.44255938013,88.54835899772806,0.7873251933754879,synthetic
service_2,python,2,3,8,4,5,0.29591850362880273,0.14168055001090157,0.2424149856794916,0.34621801644513517,1,1,1.3371530030260117,1,0.01344185528278289,569.0645193933423,69934.12301113905,85.6135294962221,0.20526068610599854,synthetic
service_3,go,1,4,5,3,5,0.4222086663254762,0.5156306392030522,0.1933676731502687,0.46836499436836726,1,0,1.887040427417844,5,0.012850762254122131,276.8952588312085,89824.36003737935,95.02090285816652,0.05067056530192805,synthetic
service_4,java,6,5,4,4,11,0.5768970184579252,0.5375378988187485,0.453049393859277,0.21719718275521432,3,1,1.3580062988137747,1,0.04973297502906971,992.8945765827916,28676.4738378791,94.17470111331295,0.37965114677102363,synthetic
service_5,python,1,4,8,9,5,0.21878430407084093,0.43555524183428507,0.2713223173537883,0.1432706260641422,1,0,1.7339008409894874,1,0.026589919742685417,1562.9877508873606,22366.281722187476,81.14452379095002,0.27133045589921767,synthetic
service_6,java,1,2,4,3,3,0.3180086870216846,0.19911279815931598,0.3285556642500834,0.21783644933894553,1,1,0.6802469717084633,1,0.005613692425159446,691.6852878434589,97971.54233352935,58.76651349446693,0.2850163998896928,synthetic
service_7,go,2,1,6,1,3,0.343059252826814,0.19627707349851223,0.19305131890038713,0.4805952819119571,2,0,0.5273327384773245,2,0.016629805884394305,1705.2630908419637,3303.921637846761,90.72342412944678,0.035770884018594525,synthetic
service_8,python,0,5,5,4,5,0.4522914755605074,0.290533571352368,0.33838495221215165,0.24126047482132124,1,0,1.4036613888516785,4,0.04661552617867734,1951.0715962153793,99597.19296100258,52.7935577338675,0.2514925969031933,synthetic
service_9,python,2,2,3,8,4,0.5988135615384426,0.5336051254769117,0.028151637840918675,0.05940895813403596,0,4,0.9285681294227911,3,0.04852406250867432,182.0038327060946,89223.16825610904,76.385055454315,0.253878291618639,synthetic
service_10,go,1,7,3,3,8,0.1759606731622581,0.03174281894793127,0.06659256261187485,0.038100189799581574,4,2,1.1168826748780536,5,0.04162904681461921,1181.2547914149204,7287.671129410133,51.84109338179957,0.06633549552502614,synthetic
service_11,java,4,3,4,8,7,0.39016691079503363,0.6260724252872466,0.4520793472468742,0.17412773351165017,3,2,1.8898814377422415,4,0.017108828904087905,1303.461623201779,24774.416259041114,53.7931664054332,0.43933505433466147,synthetic
service_12,javascript,4,3,3,3,7,0.06551426858287815,0.21964125469642098,0.46202087955371657,0.11805826655870216,3,1,1.5307482581049967,2,0.04349353407266144,772.8786745069384,40319.21941790417,55.243458326624044,0.24599039988578247,synthetic
service_13,go,1,5,5,6,6,0.11648649907242824,0.24083330663934374,0.040116872830821104,0.26225569478512734,2,4,0.7563313810850987,5,0.010165143679318644,714.990549168063,43118.20742302526,75.38051893422275,0.16761446820426557,synthetic
service_14,python,3,4,3,4,7,0.17416859211754895,0.30712006747544063,0.024047321982043846,0.39075724087570746,4,3,1.382460013692585,6,0.02929682727440016,775.1886584549521,39756.72890994869,76.5928739844087,0.013241319570148787,synthetic
service_15,go,1,4,3,5,5,0.5110780177325166,0.31372066062678017,0.2713622216737981,0.12589952945347638,1,3,1.920925009417723,2,0.030961257536297745,134.40934925959698,87340.266985471,96.60591412418063,0.46120209263068296,synthetic
service_16,go,2,1,4,3,3,0.5165667855247009,0.43053700203925416,0.20725229210181384,0.4317590703064785,4,0,1.8691241943186934,2,0.0026600788520831547,691.7990251522391,78269.07504706268,63.87935863147091,0.21720035721377154,synthetic
service_17,python,1,2,3,3,3,0.7425445627543734,0.8137030238036059,0.27982016565410894,0.07762012296535625,3,2,0.5380795334905173,3,0.011876635934714525,539.0421135173357,67517.38161627411,50.98552688771821,0.2904628940550524,synthetic
service_18,java,7,2,9,2,9,0.13477391812608527,0.17663223310674983,0.057118962960198416,0.28288830998328024,2,3,1.1038250653954709,3,0.0451280427605829,1413.3215294583433,68635.20178810265,91.12919379558369,0.45202674682427224,synthetic
service_19,python,2,0,6,4,2,0.42629856137072764,0.3076570372812911,0.35952295259212275,0.1485608578115875,4,1,0.8933960664497376,1,0.025321946112860583,1234.0014129420895,34090.14519087912,88.54561018729109,0.14411306049989406,synthetic
service_20,java,0,1,1,5,1,0.14038008793197923,0.3838003597666527,0.4902884000899941,0.45168190631801247,2,1,1.3823956354548965,4,0.036820159901455804,465.9381527926978,12412.920103481152,71.08813298652562,0.2879486963019141,synthetic
